id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
600033,DE-0923,small_airport,Colnrade Ultralight Field,52.83994,8.50037,UNKNOWN,EU,DE,DE-NI,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://easy-flying.jimdosite.com/,UNKNOWN,UNKNOWN
601208,DE-0924,small_airport,Worth Ultralight strip,53.4769,10.40871,UNKNOWN,EU,DE,DE-SH,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
608355,DE-0931,small_airport,Bockwiese Airfield,48.509444,9.291944,1575,EU,DE,DE-BW,Glems,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
17115,DE00,small_airport,Doyle's Airport,39.02069854736328,-75.57710266113281,51,NA,US,US-DE,Felton,no,UNKNOWN,UNKNOWN,DE00,DE00,UNKNOWN,UNKNOWN,UNKNOWN
17119,DE04,small_airport,Newberg Airport,39.29169845581055,-75.57499694824219,20,NA,US,US-DE,Smyrna,no,UNKNOWN,UNKNOWN,DE04,DE04,UNKNOWN,UNKNOWN,UNKNOWN
17124,DE09,small_airport,Johnsons Airport,39.068199157714844,-75.4885025024414,43,NA,US,US-DE,Magnolia,no,UNKNOWN,UNKNOWN,DE09,DE09,UNKNOWN,UNKNOWN,UNKNOWN
17125,DE10,small_airport,Kimbowrosa Farm Airport,38.966800689697266,-75.46630096435547,40,NA,US,US-DE,Milford,no,UNKNOWN,UNKNOWN,DE10,DE10,UNKNOWN,UNKNOWN,UNKNOWN
17126,DE11,small_airport,Drummond Airport,38.90570068359375,-75.4010009765625,33,NA,US,US-DE,Milford,no,UNKNOWN,UNKNOWN,DE11,DE11,UNKNOWN,UNKNOWN,UNKNOWN
17129,DE14,small_airport,Huey Airport,38.74399948120117,-75.53489685058594,45,NA,US,US-DE,Bridgeville,no,UNKNOWN,UNKNOWN,DE14,DE14,UNKNOWN,UNKNOWN,UNKNOWN
17130,DE15,small_airport,Pevey Airport,38.61259841918945,-75.69969940185547,40,NA,US,US-DE,Seaford,no,UNKNOWN,UNKNOWN,DE15,DE15,UNKNOWN,UNKNOWN,UNKNOWN
